,page,txtbox,textline,font,szie,x1,y1,x2,y2,char,xspace,yspace,concat,words,wx1,wb
0,1,0,1,SXMFFW+CMBX12,14.360999999999999,133.768,704.342,141.838,718.702,1,16.13900000000001,0.0,False,1,133.768,True
2,1,0,1,SXMFFW+CMBX12,14.360999999999999,170.59599999999998,704.342,178.666,718.702,2,-44.897999999999996,-20.97099999999989,False,H2,157.977,True
6,1,1,2,XPCBJJ+CMR10,9.963,149.266,683.3710000000001,153.195,693.334,s,3.318000000000012,0.0,False,This,133.768,True
8,1,1,2,XPCBJJ+CMR10,9.963,159.28,683.3710000000001,163.209,693.334,s,3.328000000000003,0.0,False,is,156.513,True
11,1,1,2,XPCBJJ+CMR10,9.963,175.947,683.3710000000001,180.37400000000002,693.334,e,3.3179999999999836,0.0,False,the,166.537,True
17,1,1,2,XPCBJJ+CMR10,9.963,211.394,683.3710000000001,214.16099999999997,693.334,l,3.3180000000000405,0.0,False,normal,183.692,True
21,1,1,2,XPCBJJ+CMR10,9.963,231.03900000000002,683.3710000000001,234.91299999999998,693.334,t,3.328000000000003,0.0,False,text,217.479,True
23,1,1,2,XPCBJJ+CMR10,9.963,241.00799999999998,683.3710000000001,246.544,693.334,n,3.316999999999979,0.0,False,in,238.24099999999999,True
26,1,1,2,XPCBJJ+CMR10,9.963,259.27099999999996,683.3710000000001,263.698,693.334,e,3.3179999999999836,0.0,False,the,249.861,True
30,1,1,2,XPCBJJ+CMR10,9.963,283.067,683.3710000000001,288.60200000000003,693.334,n,3.326999999999998,0.0,False,main,267.01599999999996,True
38,1,1,2,XPCBJJ+CMR10,9.963,321.872,683.3710000000001,324.639,693.334,.,-190.871,-28.274000000000115,False,section.,291.92900000000003,True
41,1,2,3,SXMFFW+CMBX12,11.967,144.22899999999998,655.097,150.954,667.064,1,13.448999999999984,0.0,False,1.1,133.768,True
43,1,2,3,SXMFFW+CMBX12,11.967,174.919,655.097,181.644,667.064,3,-47.876000000000005,-18.003999999999905,False,H3,164.403,True
47,1,3,4,XPCBJJ+CMR10,9.963,152.586,637.0930000000001,157.014,647.056,e,3.3170000000000073,0.0,False,Some,133.768,True
53,1,3,4,XPCBJJ+CMR10,9.963,188.033,637.0930000000001,190.801,647.056,l,3.326999999999998,0.0,False,normal,160.33100000000002,True
57,1,3,4,XPCBJJ+CMR10,9.963,207.688,637.0930000000001,211.563,647.056,t,3.3179999999999836,0.0,False,text,194.128,True
59,1,3,4,XPCBJJ+CMR10,9.963,217.648,637.0930000000001,223.183,647.056,n,3.3179999999999836,0.0,False,in,214.88099999999997,True
70,1,3,4,XPCBJJ+CMR10,9.963,271.443,637.0930000000001,274.211,647.056,.,4.432999999999993,0.0,False,subsection.,226.50099999999998,True
74,1,3,4,XPCBJJ+CMR10,9.963,295.857,637.0930000000001,299.731,647.056,t,3.3180000000000405,0.0,False,most,278.644,True
76,1,3,4,XPCBJJ+CMR10,9.963,308.03,637.0930000000001,311.074,647.056,f,3.3179999999999836,0.0,False,of,303.04900000000004,True
79,1,3,4,XPCBJJ+CMR10,9.963,323.802,637.0930000000001,328.22900000000004,647.056,e,3.3269999999999413,0.0,False,the,314.392,True
87,1,3,4,XPCBJJ+CMR10,9.963,370.3,637.0930000000001,374.175,647.056,t,3.3169999999999504,0.0,False,document,331.556,True
91,1,3,4,XPCBJJ+CMR10,9.963,390.222,637.0930000000001,392.99,647.056,l,3.3169999999999504,0.0,False,will,377.49199999999996,True
95,1,3,4,XPCBJJ+CMR10,9.963,411.534,637.0930000000001,415.962,647.056,e,3.3170000000000073,0.0,False,have,396.30699999999996,True
101,1,3,4,XPCBJJ+CMR10,9.963,446.981,637.0930000000001,449.749,647.056,l,3.3269999999999413,0.0,False,normal,419.279,True
106,1,3,4,XPCBJJ+CMR10,9.963,470.51099999999997,637.0930000000001,473.278,647.056,.,-339.51,-28.274000000000115,False,text.,453.07599999999996,True
109,1,4,5,SXMFFW+CMBX12,11.967,144.22899999999998,608.819,150.954,620.786,2,13.448999999999984,0.0,False,1.2,133.768,True
111,1,4,5,SXMFFW+CMBX12,11.967,174.919,608.819,181.644,620.786,3,-47.876000000000005,-24.830999999999904,False,H3,164.403,True
112,1,5,6,SXMFFW+CMBX12,14.360999999999999,133.768,583.988,141.838,598.3480000000001,2,16.13900000000001,0.0,False,2,133.768,True
114,1,5,6,SXMFFW+CMBX12,14.360999999999999,170.59599999999998,583.988,178.666,598.3480000000001,2,-44.897999999999996,-20.971000000000117,False,H2,157.977,True
118,1,6,7,XPCBJJ+CMR10,9.963,149.266,563.0169999999999,153.195,572.98,s,3.318000000000012,0.0,False,This,133.768,True
