,page,txtbox,textline,font,szie,y1,x2,y2,xspace,yspace,words,wx1
0,1,0,1,SXMFFW+CMBX12,14.345999999999998,704.342,141.838,718.688,16.13900000000001,0.0,1,133.768
2,1,0,1,SXMFFW+CMBX12,14.345999999999998,704.342,178.666,718.688,-44.897999999999996,-20.97099999999989,H2,157.977
11,1,2,3,WMHEFG+CMR10,9.963,683.3710000000001,153.195,693.334,3.856000000000023,0.0,the,140.963
13,1,2,3,WMHEFG+CMR10,9.963,683.3710000000001,163.747,693.334,3.845999999999975,0.0,s,159.81799999999998
16,1,2,3,WMHEFG+CMR10,9.963,683.3710000000001,181.43,693.334,3.855999999999966,0.0,e,177.003
22,1,2,3,WMHEFG+CMR10,9.963,683.3710000000001,215.755,693.334,3.8559999999999945,0.0,l,212.988
26,1,2,3,WMHEFG+CMR10,9.963,683.3710000000001,237.045,693.334,3.8460000000000036,0.0,the,223.485
28,1,2,3,WMHEFG+CMR10,9.963,683.3710000000001,249.19400000000002,693.334,3.8549999999999898,0.0,n,243.658
31,1,2,3,WMHEFG+CMR10,9.963,683.3710000000001,266.88599999999997,693.334,3.8560000000000514,0.0,e,262.459
35,1,2,3,WMHEFG+CMR10,9.963,683.3710000000001,292.328,693.334,3.8450000000000273,0.0,n,286.793
43,1,2,3,WMHEFG+CMR10,9.963,683.3710000000001,328.884,693.334,6.026999999999987,0.0,.,326.116
47,1,2,3,WMHEFG+CMR10,9.963,683.3710000000001,358.157,693.334,3.8449999999999704,0.0,e,353.72900000000004
53,1,2,3,WMHEFG+CMR10,9.963,683.3710000000001,392.472,693.334,3.855000000000018,0.0,l,389.704
57,1,2,3,WMHEFG+CMR10,9.963,683.3710000000001,413.76199999999994,693.334,3.855000000000018,0.0,t,409.88699999999994
59,1,2,3,WMHEFG+CMR10,9.963,683.3710000000001,425.92,693.334,3.845999999999947,0.0,n,420.385
70,1,2,3,WMHEFG+CMR10,9.963,683.3710000000001,477.476,693.334,-343.70799999999997,-11.955000000000041,.,474.708
74,1,2,4,WMHEFG+CMR10,9.963,671.416,154.855,681.3789999999999,3.0190000000000055,0.0,the,142.07
76,1,2,4,WMHEFG+CMR10,9.963,671.416,165.899,681.3789999999999,3.0190000000000055,0.0,f,162.855
79,1,2,4,WMHEFG+CMR10,9.963,671.416,182.755,681.3789999999999,3.0190000000000055,0.0,e,178.328
87,1,2,4,WMHEFG+CMR10,9.963,671.416,228.392,681.3789999999999,3.0080000000000098,0.0,t,224.517
91,1,2,4,WMHEFG+CMR10,9.963,671.416,246.898,681.3789999999999,3.0190000000000055,0.0,l,244.13099999999997
95,1,2,4,WMHEFG+CMR10,9.963,671.416,269.57099999999997,681.3789999999999,3.0190000000000055,0.0,e,265.144
101,1,2,4,WMHEFG+CMR10,9.963,671.416,303.059,681.3789999999999,3.0089999999999577,0.0,text.,278.125
106,1,2,4,WMHEFG+CMR10,9.963,671.416,326.27,681.3789999999999,4.33400000000006,0.0,.,323.503
110,1,2,4,WMHEFG+CMR10,9.963,671.416,350.031,681.3789999999999,3.0090000000000146,0.0,s,346.102
117,1,2,4,WMHEFG+CMR10,9.963,671.416,382.99199999999996,681.3789999999999,3.0090000000000146,0.0,n,377.457
119,1,2,4,WMHEFG+CMR10,9.963,671.416,392.69800000000004,681.3789999999999,3.0189999999999486,0.0,s,388.769
126,1,2,4,WMHEFG+CMR10,9.963,671.416,429.48,681.3789999999999,3.0190000000000055,0.0,level,405.67900000000003
131,1,2,4,WMHEFG+CMR10,9.963,671.416,451.86800000000005,681.3789999999999,3.0189999999998918,0.0,l,449.1
133,1,2,4,WMHEFG+CMR10,9.963,671.416,462.635,681.3789999999999,4.324000000000012,0.0,.,459.86800000000005
135,1,2,4,WMHEFG+CMR10,9.963,671.416,477.476,681.3789999999999,-343.70799999999997,-11.955000000000041,o,472.494
139,1,2,5,WMHEFG+CMR10,9.963,659.461,149.875,669.424,3.3170000000000073,0.0,s,145.945
141,1,2,5,WMHEFG+CMR10,9.963,659.461,159.889,669.424,3.326999999999998,0.0,s,155.96
145,1,2,5,WMHEFG+CMR10,9.963,659.461,184.856,669.424,3.318000000000012,0.0,e,180.429
149,1,2,5,WMHEFG+CMR10,9.963,659.461,205.608,669.424,3.3279999999999745,0.0,t,201.734
151,1,2,5,WMHEFG+CMR10,9.963,659.461,217.229,669.424,3.3269999999999698,0.0,n,211.69299999999998
155,1,2,5,WMHEFG+CMR10,9.963,659.461,236.66299999999998,669.424,3.3170000000000073,0.0,s,232.733
163,1,2,5,WMHEFG+CMR10,9.963,659.461,272.69,669.424,-138.922,-28.274999999999977,H3,264.388
5,1,1,2,SXMFFW+CMBX12,11.955,631.186,150.954,643.141,13.448999999999984,0.0,1,144.22899999999998
7,1,1,2,SXMFFW+CMBX12,11.955,631.186,181.644,643.141,-47.876000000000005,-18.003000000000043,3,174.919
168,1,3,6,WMHEFG+CMR10,9.963,613.183,157.065,623.146,4.1839999999999975,0.0,Tools,133.768
171,1,3,6,WMHEFG+CMR10,9.963,613.183,173.17700000000002,623.146,4.183999999999969,0.0,for,161.249
182,1,3,6,WMHEFG+CMR10,9.963,613.183,228.422,623.146,4.173999999999978,0.0,Lightweight,177.361
185,1,3,6,WMHEFG+CMR10,9.963,613.183,253.49099999999999,623.146,4.184000000000026,0.0,PDF,232.59599999999998
188,1,3,6,WMHEFG+CMR10,9.963,613.183,273.72700000000003,623.146,4.183999999999969,0.0,and,257.675
191,1,3,6,WMHEFG+CMR10,9.963,613.183,297.699,623.146,4.173999999999978,0.0,XPS,277.911
197,1,3,6,WMHEFG+CMR10,9.963,613.183,329.57199999999995,623.146,4.184000000000026,0.0,viewer,301.873
198,1,3,6,WMHEFG+CMR10,9.963,613.183,341.228,623.146,4.183999999999969,0.0,A,333.756
204,1,3,6,WMHEFG+CMR10,9.963,613.183,375.57,623.146,4.185000000000002,0.0,tabbed,345.412
