,page,txtbox,textline,font,szie,x1,y1,x2,y2,char,xspace,yspace,concat,words,wx1,wb
0,1,0,1,SXMFFW+CMBX12,14.345999999999998,133.768,704.342,141.838,718.688,1,16.13900000000001,0.0,False,1,133.768,True
1,1,0,1,SXMFFW+CMBX12,14.345999999999998,157.977,704.342,170.59599999999998,718.688,H,0.0,0.0,True,H,157.977,False
2,1,0,1,SXMFFW+CMBX12,14.345999999999998,170.59599999999998,704.342,178.666,718.688,2,-44.897999999999996,-20.97099999999989,False,H2,157.977,True
8,1,2,3,WMHEFG+CMR10,9.963,133.768,683.3710000000001,140.963,693.334,T,0.0,0.0,True,is,174.919,False
9,1,2,3,WMHEFG+CMR10,9.963,140.963,683.3710000000001,146.498,693.334,h,0.0,0.0,True,h,140.963,False
10,1,2,3,WMHEFG+CMR10,9.963,146.498,683.3710000000001,149.266,693.334,i,0.0,0.0,True,i,146.498,False
11,1,2,3,WMHEFG+CMR10,9.963,149.266,683.3710000000001,153.195,693.334,s,3.856000000000023,0.0,False,the,140.963,True
12,1,2,3,WMHEFG+CMR10,9.963,157.05100000000002,683.3710000000001,159.81799999999998,693.334,i,0.0,0.0,True,i,157.05100000000002,False
13,1,2,3,WMHEFG+CMR10,9.963,159.81799999999998,683.3710000000001,163.747,693.334,s,3.845999999999975,0.0,False,s,159.81799999999998,True
14,1,2,3,WMHEFG+CMR10,9.963,167.593,683.3710000000001,171.467,693.334,t,0.0,0.0,True,t,167.593,False
15,1,2,3,WMHEFG+CMR10,9.963,171.467,683.3710000000001,177.003,693.334,h,0.0,0.0,True,h,171.467,False
16,1,2,3,WMHEFG+CMR10,9.963,177.003,683.3710000000001,181.43,693.334,e,3.855999999999966,0.0,False,e,177.003,True
17,1,2,3,WMHEFG+CMR10,9.963,185.28599999999997,683.3710000000001,190.821,693.334,n,0.0,0.0,True,normal,157.05100000000002,False
18,1,2,3,WMHEFG+CMR10,9.963,190.821,683.3710000000001,195.80200000000002,693.334,o,0.0,0.0,True,o,190.821,False
19,1,2,3,WMHEFG+CMR10,9.963,195.80200000000002,683.3710000000001,199.704,693.334,r,0.0,0.0,True,r,195.80200000000002,False
20,1,2,3,WMHEFG+CMR10,9.963,199.704,683.3710000000001,208.00599999999997,693.334,m,0.0,0.0,True,m,199.704,False
21,1,2,3,WMHEFG+CMR10,9.963,208.00599999999997,683.3710000000001,212.988,693.334,a,0.0,0.0,True,text,190.821,False
22,1,2,3,WMHEFG+CMR10,9.963,212.988,683.3710000000001,215.755,693.334,l,3.8559999999999945,0.0,False,l,212.988,True
23,1,2,3,WMHEFG+CMR10,9.963,219.611,683.3710000000001,223.485,693.334,t,0.0,0.0,True,in,212.988,False
24,1,2,3,WMHEFG+CMR10,9.963,223.485,683.3710000000001,227.91299999999998,693.334,e,0.0,0.0,True,e,223.485,False
25,1,2,3,WMHEFG+CMR10,9.963,227.91299999999998,683.3710000000001,233.171,693.334,x,0.0,0.0,True,x,227.91299999999998,False
26,1,2,3,WMHEFG+CMR10,9.963,233.171,683.3710000000001,237.045,693.334,t,3.8460000000000036,0.0,False,the,223.485,True
27,1,2,3,WMHEFG+CMR10,9.963,240.891,683.3710000000001,243.658,693.334,i,0.0,0.0,True,i,240.891,False
28,1,2,3,WMHEFG+CMR10,9.963,243.658,683.3710000000001,249.19400000000002,693.334,n,3.8549999999999898,0.0,False,n,243.658,True
29,1,2,3,WMHEFG+CMR10,9.963,253.049,683.3710000000001,256.92400000000004,693.334,t,0.0,0.0,True,t,253.049,False
30,1,2,3,WMHEFG+CMR10,9.963,256.92400000000004,683.3710000000001,262.459,693.334,h,0.0,0.0,True,main,240.891,False
31,1,2,3,WMHEFG+CMR10,9.963,262.459,683.3710000000001,266.88599999999997,693.334,e,3.8560000000000514,0.0,False,e,262.459,True
32,1,2,3,WMHEFG+CMR10,9.963,270.742,683.3710000000001,279.04400000000004,693.334,m,0.0,0.0,True,m,270.742,False
33,1,2,3,WMHEFG+CMR10,9.963,279.04400000000004,683.3710000000001,284.025,693.334,a,0.0,0.0,True,a,279.04400000000004,False
34,1,2,3,WMHEFG+CMR10,9.963,284.025,683.3710000000001,286.793,693.334,i,0.0,0.0,True,i,284.025,False
35,1,2,3,WMHEFG+CMR10,9.963,286.793,683.3710000000001,292.328,693.334,n,3.8450000000000273,0.0,False,n,286.793,True
36,1,2,3,WMHEFG+CMR10,9.963,296.173,683.3710000000001,300.103,693.334,s,0.0,0.0,True,s,296.173,False
37,1,2,3,WMHEFG+CMR10,9.963,300.103,683.3710000000001,304.53,693.334,e,0.0,0.0,True,e,300.103,False
38,1,2,3,WMHEFG+CMR10,9.963,304.53,683.3710000000001,308.957,693.334,c,0.0,0.0,True,section.,262.459,False
39,1,2,3,WMHEFG+CMR10,9.963,308.957,683.3710000000001,312.832,693.334,t,0.0,0.0,True,t,308.957,False
40,1,2,3,WMHEFG+CMR10,9.963,312.832,683.3710000000001,315.599,693.334,i,0.0,0.0,True,i,312.832,False
41,1,2,3,WMHEFG+CMR10,9.963,315.599,683.3710000000001,320.58099999999996,693.334,o,0.0,0.0,True,o,315.599,False
42,1,2,3,WMHEFG+CMR10,9.963,320.58099999999996,683.3710000000001,326.116,693.334,n,0.0,0.0,True,Some,308.957,False
43,1,2,3,WMHEFG+CMR10,9.963,326.116,683.3710000000001,328.884,693.334,.,6.026999999999987,0.0,False,.,326.116,True
44,1,2,3,WMHEFG+CMR10,9.963,334.911,683.3710000000001,340.44599999999997,693.334,S,0.0,0.0,True,S,334.911,False
