,Unnamed: 0,page,txtbox,textline,font,szie,y1,x2,y2,xspace,yspace,words,wx1,linebreak,udw,udrm,tablecandidate
0,0,1,0,1,SXMFFW+CMBX12,14.345999999999998,704.342,141.838,718.688,16.13900000000001,0.0,1,133.768,0,1,0,1
1,2,1,0,1,SXMFFW+CMBX12,14.345999999999998,704.342,178.666,718.688,-44.898,-20.97099999999989,H2,157.977,1,0,0,0
2,6,1,2,3,WMHEFG+CMR10,9.963,683.3710000000002,153.195,693.334,3.8560000000000234,0.0,This,133.768,0,0,0,0
3,8,1,2,3,WMHEFG+CMR10,9.963,683.3710000000002,163.747,693.334,3.8459999999999748,0.0,is,157.05100000000004,0,0,0,0
4,11,1,2,3,WMHEFG+CMR10,9.963,683.3710000000002,181.43,693.334,3.855999999999966,0.0,the,167.593,0,0,0,0
5,17,1,2,3,WMHEFG+CMR10,9.963,683.3710000000002,215.755,693.334,3.8559999999999945,0.0,normal,185.286,0,0,0,0
6,21,1,2,3,WMHEFG+CMR10,9.963,683.3710000000002,237.045,693.334,3.846000000000004,0.0,text,219.611,0,0,0,0
7,23,1,2,3,WMHEFG+CMR10,9.963,683.3710000000002,249.194,693.334,3.8549999999999898,0.0,in,240.891,0,0,0,0
8,26,1,2,3,WMHEFG+CMR10,9.963,683.3710000000002,266.886,693.334,3.8560000000000514,0.0,the,253.049,0,0,0,0
9,30,1,2,3,WMHEFG+CMR10,9.963,683.3710000000002,292.328,693.334,3.8450000000000273,0.0,main,270.742,0,0,0,0
10,38,1,2,3,WMHEFG+CMR10,9.963,683.3710000000002,328.884,693.334,6.026999999999987,0.0,section.,296.173,0,1,0,1
11,42,1,2,3,WMHEFG+CMR10,9.963,683.3710000000002,358.157,693.334,3.8449999999999696,0.0,Some,334.911,0,0,0,0
12,48,1,2,3,WMHEFG+CMR10,9.963,683.3710000000002,392.472,693.334,3.8550000000000177,0.0,normal,362.002,0,0,0,0
13,52,1,2,3,WMHEFG+CMR10,9.963,683.3710000000002,413.762,693.334,3.8550000000000177,0.0,text,396.327,0,0,0,0
14,54,1,2,3,WMHEFG+CMR10,9.963,683.3710000000002,425.92,693.334,3.845999999999947,0.0,in,417.617,0,0,0,0
15,65,1,2,3,WMHEFG+CMR10,9.963,683.3710000000002,477.476,693.334,-343.708,-11.955000000000037,subsection.,429.766,1,0,0,0
16,69,1,2,4,WMHEFG+CMR10,9.963,671.416,154.855,681.3789999999998,3.019000000000005,0.0,most,133.768,0,0,0,0
17,71,1,2,4,WMHEFG+CMR10,9.963,671.416,165.899,681.3789999999998,3.019000000000005,0.0,of,157.874,0,0,0,0
18,74,1,2,4,WMHEFG+CMR10,9.963,671.416,182.755,681.3789999999998,3.019000000000005,0.0,the,168.918,0,0,0,0
19,82,1,2,4,WMHEFG+CMR10,9.963,671.416,228.392,681.3789999999998,3.0080000000000098,0.0,document,185.774,0,0,0,0
20,86,1,2,4,WMHEFG+CMR10,9.963,671.416,246.898,681.3789999999998,3.019000000000005,0.0,will,231.4,0,0,0,0
21,90,1,2,4,WMHEFG+CMR10,9.963,671.416,269.571,681.3789999999998,3.019000000000005,0.0,have,249.917,0,0,0,0
22,96,1,2,4,WMHEFG+CMR10,9.963,671.416,303.059,681.3789999999998,3.0089999999999577,0.0,normal,272.59,0,0,0,0
23,101,1,2,4,WMHEFG+CMR10,9.963,671.416,326.27,681.3789999999998,4.33400000000006,0.0,text.,306.068,0,0,0,0
24,105,1,2,4,WMHEFG+CMR10,9.963,671.416,350.031,681.3789999999998,3.0090000000000146,0.0,This,330.6040000000001,0,0,0,0
25,112,1,2,4,WMHEFG+CMR10,9.963,671.416,382.992,681.3789999999998,3.0090000000000146,0.0,section,353.04,0,0,0,0
26,114,1,2,4,WMHEFG+CMR10,9.963,671.416,392.698,681.3789999999998,3.0189999999999486,0.0,is,386.001,0,0,0,0
27,121,1,2,4,WMHEFG+CMR10,9.963,671.416,429.48,681.3789999999998,3.019000000000005,0.0,heading,395.717,0,0,0,0
28,126,1,2,4,WMHEFG+CMR10,9.963,671.416,451.86800000000005,681.3789999999998,3.018999999999892,0.0,level,432.499,0,0,0,0
29,128,1,2,4,WMHEFG+CMR10,9.963,671.416,462.635,681.3789999999998,4.324000000000012,0.0,2.,454.887,0,0,0,0
30,130,1,2,4,WMHEFG+CMR10,9.963,671.416,477.476,681.3789999999998,-343.708,-11.955000000000037,So,466.959,1,0,0,0
31,134,1,2,5,WMHEFG+CMR10,9.963,659.461,149.875,669.424,3.3170000000000077,0.0,this,133.768,0,0,0,0
32,136,1,2,5,WMHEFG+CMR10,9.963,659.461,159.889,669.424,3.326999999999998,0.0,is,153.192,0,0,0,0
33,140,1,2,5,WMHEFG+CMR10,9.963,659.461,184.856,669.424,3.318000000000012,0.0,some,163.216,0,0,0,0
34,144,1,2,5,WMHEFG+CMR10,9.963,659.461,205.608,669.424,3.3279999999999745,0.0,text,188.174,0,0,0,0
35,146,1,2,5,WMHEFG+CMR10,9.963,659.461,217.229,669.424,3.3269999999999698,0.0,in,208.936,0,0,0,0
36,150,1,2,5,WMHEFG+CMR10,9.963,659.461,236.663,669.424,3.3170000000000077,0.0,this,220.556,0,0,0,0
37,158,1,2,5,WMHEFG+CMR10,9.963,659.461,272.69,669.424,-138.922,-28.274999999999977,section.,239.98,1,0,0,0
