page,txtbox,textline,font,szie,x1,y1,x2,y2,char
1,0,1,SXMFFW+CMBX12,14.346,133.768,704.342,141.838,718.688,1
1,0,1,SXMFFW+CMBX12,14.346,157.977,704.342,170.596,718.688,H
1,0,1,SXMFFW+CMBX12,14.346,170.596,704.342,178.666,718.688,2
1,1,2,SXMFFW+CMBX12,11.955,133.768,631.186,140.493,643.141,1
1,1,2,SXMFFW+CMBX12,11.955,140.493,631.186,144.229,643.141,.
1,1,2,SXMFFW+CMBX12,11.955,144.229,631.186,150.954,643.141,1
1,1,2,SXMFFW+CMBX12,11.955,164.403,631.186,174.919,643.141,H
1,1,2,SXMFFW+CMBX12,11.955,174.919,631.186,181.644,643.141,3
1,2,3,WMHEFG+CMR10,9.963,133.768,683.371,140.963,693.334,T
1,2,3,WMHEFG+CMR10,9.963,140.963,683.371,146.498,693.334,h
1,2,3,WMHEFG+CMR10,9.963,146.498,683.371,149.266,693.334,i
1,2,3,WMHEFG+CMR10,9.963,149.266,683.371,153.195,693.334,s
1,2,3,WMHEFG+CMR10,9.963,157.051,683.371,159.818,693.334,i
1,2,3,WMHEFG+CMR10,9.963,159.818,683.371,163.747,693.334,s
1,2,3,WMHEFG+CMR10,9.963,167.593,683.371,171.467,693.334,t
1,2,3,WMHEFG+CMR10,9.963,171.467,683.371,177.003,693.334,h
1,2,3,WMHEFG+CMR10,9.963,177.003,683.371,181.430,693.334,e
1,2,3,WMHEFG+CMR10,9.963,185.286,683.371,190.821,693.334,n
1,2,3,WMHEFG+CMR10,9.963,190.821,683.371,195.802,693.334,o
1,2,3,WMHEFG+CMR10,9.963,195.802,683.371,199.704,693.334,r
1,2,3,WMHEFG+CMR10,9.963,199.704,683.371,208.006,693.334,m
1,2,3,WMHEFG+CMR10,9.963,208.006,683.371,212.988,693.334,a
1,2,3,WMHEFG+CMR10,9.963,212.988,683.371,215.755,693.334,l
1,2,3,WMHEFG+CMR10,9.963,219.611,683.371,223.485,693.334,t
1,2,3,WMHEFG+CMR10,9.963,223.485,683.371,227.913,693.334,e
1,2,3,WMHEFG+CMR10,9.963,227.913,683.371,233.171,693.334,x
